#{"t_start": 1774194196.1778681, "env_id": null}
r,l,t
1357.079035,349,9.464345
1358.792189,382,9.581947
892.774637,275,9.69512
1211.802182,351,9.804485
1141.999045,313,9.952375
776.821094,250,10.008886
1019.173355,264,10.037841
1525.842578,424,10.159327
837.166202,300,10.288941
1415.971927,355,10.369967
907.485872,275,10.491229
1671.304077,365,10.62426
1562.2011,384,10.76428
1899.43915,409,10.938958
829.520036,253,11.018504
980.407905,269,11.146246
1230.461617,339,11.302354
1265.432192,338,11.426045
1203.860378,321,11.565114
1455.399546,400,11.737012
1354.024009,375,11.900161
886.592632,250,11.962057
973.385102,287,12.016961
1333.645542,347,12.069113
1132.55434,309,12.104385
882.236195,250,12.168365
1198.425187,350,12.306877
1596.018525,389,12.486073
972.940146,280,12.608932
849.622705,260,12.678657
2452.745173,550,12.940974
1128.336525,350,12.982023
1173.834546,309,13.015989
1403.245405,384,13.062382
1487.138247,364,13.104016
1233.786213,339,13.199968
2663.010006,550,13.378252
1009.36068,294,13.436027
1087.702319,306,13.559647
2152.406423,500,13.682203
1810.472985,450,13.808941
1004.933404,296,13.888998
1027.347786,305,13.996882
2302.448739,520,14.192024
628.114925,230,14.277042
2112.011758,472,14.380406
1495.466732,400,14.433397
2093.520499,460,14.530078
1895.99346,416,14.684248
1646.346349,355,14.752433
1553.549829,400,14.899544
1587.330671,396,15.036238
733.949592,228,15.134491
889.849847,257,15.210899
2456.286571,583,15.437444
1514.332773,362,15.572094
1160.597229,321,15.679814
1896.092941,439,15.734511
1292.067698,330,15.773163
1494.857796,400,15.821086
1383.095938,364,15.86697
1805.085871,400,15.914062
1804.418186,449,15.98423
1896.236858,443,16.136124
1641.3049,366,16.259764
947.751211,300,16.298877
1339.663926,340,16.336731
1399.93406,367,16.412097
1941.125083,442,16.583098
1575.709228,363,16.694402
1805.315011,438,16.888641
1032.041633,300,16.951193
1552.686806,369,17.113377
501.864588,200,17.188035
1797.133294,400,17.369404
863.335588,283,17.447155
1348.073849,355,17.603042
2008.7025,450,17.704009
1533.850867,413,17.847282
1389.418311,349,17.987198
1902.668669,450,18.15873
1871.598506,450,18.337036
1771.058208,400,18.487035
1688.390122,450,18.614475
726.222653,253,18.643241
1844.929151,450,18.698718
1661.255009,379,18.74908
1362.241336,348,18.800071
937.772052,250,18.843607
1415.22188,350,18.968945
1427.341875,373,19.02096
1612.725081,400,19.075876
1947.340569,451,19.185999
2153.925326,500,19.276143
868.79276,273,19.345596
2146.120997,500,19.527678
1561.442611,379,19.636214
1797.559633,400,19.797403
1074.738657,305,19.85101
1255.587322,345,19.94121
1086.144601,300,20.057011
608.540027,226,20.119157
984.659951,269,20.220102
1299.628328,352,20.363319
826.295891,269,20.474186
1880.268587,418,20.635098
1028.984327,291,20.719671
1057.861416,283,20.842405
1935.962648,467,21.047932
1043.213071,298,21.168571
1802.242581,420,21.292097
1647.826881,400,21.41918
1375.423631,350,21.459898
1718.206423,400,21.507006
1030.225737,311,21.540119
833.802385,250,21.576962
1803.905403,400,21.735094
1865.451202,450,21.836288
1112.631999,326,21.957484
1652.538348,386,22.134157
1348.972121,355,22.304248
1574.971109,400,22.363182
913.129984,250,22.46011
1027.043276,300,22.576042
1215.586026,310,22.707238
1282.641473,337,22.842166
1264.973252,326,22.989691
698.098457,250,23.057352
1778.338825,421,23.116014
855.020015,253,23.161116
551.34778,214,23.19402
712.547312,230,23.266041
1795.040728,405,23.425109
1497.43911,394,23.486941
1666.365861,430,23.621403
1204.645044,300,23.750985
1348.721252,372,23.874075
730.00403,250,23.957156
668.740501,235,24.041102
1396.257564,378,24.159154
1171.202722,325,24.271446
1064.973692,313,24.884477
1782.59485,416,25.476203
2128.719694,429,26.084083
2162.208346,450,26.717647
1622.218663,379,27.245848
791.058696,247,27.608622
954.616144,266,28.007785
1693.382913,376,28.532264
1146.853647,300,28.975225
1136.42098,286,29.426876
1212.079696,300,29.886537
1275.065476,302,30.367188
1381.126992,315,30.867961
897.868143,250,31.26963
943.060343,250,31.664845
1492.474574,348,32.213832
1145.9312,293,32.689277
1440.397446,324,33.205997
1231.289692,316,33.696601
1096.112725,274,34.111124
1211.63665,301,34.589873
1410.30915,329,35.111989
1595.464419,350,35.656848
1121.74402,281,36.326733
868.78636,245,36.728686
1531.066669,350,37.296171
1235.670433,300,37.792202
1263.516137,300,38.383214
1497.113797,351,38.949814
1386.816795,313,39.456115
1124.939081,285,39.919672
1166.984173,277,40.371463
1323.22976,325,40.888565
1349.608076,320,41.394631
1322.401585,320,41.908705
1242.668165,300,42.392104
1449.649042,325,42.925932
1277.160823,304,43.416645
1136.93228,284,43.89111
1193.627272,300,44.377913
1167.625425,296,44.859696
1496.771568,350,45.42432
968.997209,257,45.834303
1103.63425,265,46.26596
1315.086336,318,46.774498
1083.896792,273,47.211094
1231.668537,300,47.726999
1199.51929,301,48.241871
1098.003214,277,48.711207
1343.18078,307,49.227391
1197.36226,300,49.747354
1263.927466,300,50.263522
1086.668,273,50.735156
1427.062445,315,51.274887
1167.517028,304,51.805306
1177.347744,292,52.315877
1321.822592,300,52.855179
1375.695008,300,53.408918
1239.494422,296,53.930821
1238.680953,302,54.458354
1263.069298,300,54.971163
955.273395,256,55.404019
1509.01165,343,55.950011
1371.33161,315,56.473229
1219.314636,300,56.965099
1184.84078,289,57.44622
1123.97904,272,57.917631
1044.79444,253,58.351291
1068.295303,289,58.832335
983.8752,260,59.264139
1289.274246,305,59.775708
1361.601942,309,60.298686
1011.0413,268,60.755893
1337.795238,317,61.289003
950.26561,259,61.735288
1083.03162,267,62.204321
1290.894977,307,62.727874
1148.386237,300,63.224318
1194.833649,300,63.733257
920.71834,250,64.155165
1140.840159,300,64.681407
1287.162817,302,65.202248
994.570036,271,65.662057
1108.38312,287,66.346635
1312.68144,307,66.860257
1068.798756,266,67.302367
1207.35648,300,67.844687
1296.534726,287,68.365152
1300.7882,300,68.91141
1018.409145,251,69.355075
1119.1032,286,69.872405
1158.278235,280,70.389003
1027.749739,259,70.858337
1033.25643,261,71.341108
1134.195849,286,71.864267
1275.37275,294,72.407307
1273.843391,300,72.969912
1203.09207,298,73.524208
1227.699742,294,74.072821
1105.776881,294,74.601336
1273.841029,300,75.145854
1260.82752,299,75.689327
945.426,250,76.146093
1284.298577,297,76.705781
1248.81539,300,77.256811
1225.873903,290,77.787504
1102.16551,277,78.295024
1220.353615,300,78.833515
1177.24906,282,79.353627
1353.063589,308,79.913291
1253.2919,295,80.453269
1210.32808,298,80.98952
1283.941942,300,81.530821
1277.017688,279,82.040696
1193.949239,270,82.532267
1170.4766,283,83.097594
1456.038351,330,83.704439
1296.144567,300,84.248086
1081.471654,285,84.762637
1500.041977,337,85.370155
1216.435816,269,85.860429
1104.227379,261,86.337816
1107.55655,268,86.823312
932.73906,252,87.275009
1144.811314,300,87.819398
1242.136796,300,88.387147
1220.167746,294,88.929458
1147.431718,276,89.438901
959.53,245,89.871363
1096.773946,275,90.353542
1169.067349,276,90.838835
1237.303157,284,91.339487
1179.913965,279,91.835853
896.98523,255,92.293213
1117.077191,277,92.785199
1351.454153,307,93.42625
1222.52379,286,93.936111
1319.733209,300,94.464398
1133.506857,275,94.970668
1089.0881,274,95.474046
1279.845018,300,96.189279
1087.785349,253,96.681957
1260.965856,300,97.223516
1228.06848,300,97.785944
994.291,250,98.248345
1331.592434,300,98.810297
1288.857806,287,99.339679
1171.984869,270,99.843526
1147.933349,285,100.38362
1127.233026,265,100.876268
1005.636819,250,101.336195
1142.95093,263,101.829876
1146.790103,276,102.335886
1012.737602,264,102.8107
1231.736933,282,103.328254
1068.92378,255,103.812737
1181.352745,271,104.320669
971.868959,250,104.789445
1095.473961,266,105.271135
1180.47274,282,105.795129
1130.731714,266,106.288807
1275.466546,300,106.836255
1124.91628,272,107.3297
1087.579,250,107.820244
960.749185,250,108.287875
984.091401,251,108.749266
1340.42669,312,109.309444
1132.045041,259,109.801339
1148.44872,254,110.238909
1288.432408,300,110.762996
1273.463398,300,111.269738
1299.657886,285,111.951811
1028.082586,248,112.447222
1128.02094,260,112.93758
978.21224,247,113.396582
1040.4138,259,113.850946
1012.849811,250,114.297858
1277.8822,290,114.813289
1119.917807,258,115.266708
1327.630908,297,115.799947
1058.40707,261,116.274156
933.18206,250,116.714102
1043.37646,268,117.179148
1136.52138,267,117.659861
922.1061,248,118.113913
1082.841674,261,118.593089
974.28,250,119.064129
1107.0154,265,119.55596
1032.14556,251,120.013246
1038.17444,250,120.483234
1198.370198,266,120.961205
872.9256,228,121.397588
1023.8439,264,121.909071
1201.216596,279,122.468966
1099.658885,262,122.981354
1153.794756,284,123.514982
1046.66594,250,123.979569
1001.813139,250,124.441419
1077.5369,267,124.943468
1117.740089,259,125.425874
1002.59332,250,125.901317
1035.4113,250,126.537376
1117.59843,269,127.03937
1132.598,264,127.550503
1117.9858,273,128.099226
1148.917514,261,128.604487
1003.911,233,129.069359
1019.74789,245,129.543052
1018.64281,242,130.010416
1157.377694,287,130.549314
1043.94412,259,131.027243
938.422295,250,131.4961
934.70355,237,131.945403
1068.4966,248,132.423966
872.18965,227,132.862482
1302.594868,300,133.448334
1155.702435,269,133.954902
1000.8924,250,134.464857
844.2631,219,134.863196
1206.187446,275,135.351403
